"48","5","Early Childhood Educator ","Requirements:
Degree or diploma in Early Childhood Education 
Registered and in good standing with the College of Early Childhood Educators
Standard First Aid, including infant and child CPR
Police record check (vulnerable sector) completed in the last 6 months 
Proof of Immunization (completed at least two [2] weeks before the start of employment), unless seeking exemption"
"49","2","Database Administrator","Requirements:
	•	Minimum Post-Secondary Degree or Diploma in Computer Science or equivalent
	•	Must Have 3 to 6 years of experience in providing Oracle Database Administration: installation/configuration, security, backup/recovery, capacity planning, performance tuning, troubleshooting
	•	Must Have 3+ years of experience with Microsoft SQL Server Database Administration, T-SQL, Replication, Always on availability Group DRS solution, Performance tuning
	•	Must Have 1+ years of experience in working Oracle HA solution like RAC and DRS
"
"50","1","DevOps Engineer","YOU'RE GOOD AT (2 or more years of experience):
	•	T-SQL scripting within Microsoft SQL Server (or similar).
YOU MAY BE GOOD AT, OR WANT TO LEARN:
	•	Azure DevOps (or similar) build automation.
	•	Regression testing planning and implementation.
	•	Developing and managing Microsoft Azure assets.
	•	Windows Server, IIS web hosting, and PowerShell.
"
"51","1","Network Systems Analyst","Must-Have:

	•	Bachelor degree or diploma in Computer Science or a related field
	•	A minimum of 2 years hands on experience working with Juniper network devices including SRX firewalls, EX series switches, Juniper WIFI and SSL VPN equipment
	•	Minimum of 5 years working in a network analyst/engineer role
	•	Intermediate level experience with JUNOS operating system
"
"52","3","Etcher","Voluptatem omnis perspiciatis aut autem ipsum non. Voluptatem id est reprehenderit accusantium. Eos officiis rerum ut consequatur accusantium at repudiandae. Quisquam laborum tempore dolores voluptas aliquid. Quasi et aut rerum voluptatum. Dolorum porro commodi culpa et neque. Voluptatem eaque voluptas ut fugiat. Consequuntur sit delectus est ipsa. Sed a veritatis dicta cupiditate vitae quaerat inventore. Dolores nulla ut perferendis fugit dolorum facere magnam aut. Ut ipsum numquam consequatur itaque iusto voluptatem ut. Eum error molestiae qui quis facilis molestiae voluptas. Consequuntur magnam veniam ullam tempora dolorem placeat. Temporibus libero labore aut tempore dolore minus sed."
"53","5","Platemaker","Accusantium non accusantium sequi delectus. Nesciunt similique incidunt tempore corrupti beatae quidem delectus sint. Sit quis asperiores maxime provident iure porro. Odio praesentium consectetur magni excepturi voluptatem odit ea pariatur. Eum suscipit pariatur enim mollitia incidunt omnis error iste. Expedita quia possimus vel magnam quos id exercitationem iusto."
"54","3","Lathe Operator","Sed voluptatibus aperiam corrupti tempora. Earum qui rem ut cupiditate qui eum. Quasi ratione quod temporibus distinctio quia. Ut ipsa accusamus laudantium omnis perspiciatis repellat adipisci."
"55","5","Appliance Repairer","Corrupti voluptatum sunt veniam quo sed. Optio tempore harum tempora officiis occaecati a. Veritatis unde fuga et doloribus deserunt. Minima ipsa sit reprehenderit dolor. Eveniet eveniet quos tempore est."
"56","3","Cooling and Freezing Equipment Operator","Officia consectetur ut aut. Aperiam pariatur autem possimus reprehenderit. Odio unde molestiae pariatur error occaecati velit debitis molestiae. Hic quia iusto rem. Placeat ea quia ullam nostrum veritatis ipsa voluptate mollitia. Vel totam non quis dolorem non id expedita."
"57","1","Numerical Tool Programmer OR Process Control Programmer","Non et tempora omnis ea. Et autem aspernatur placeat veritatis. Similique porro aut qui. Assumenda cupiditate perspiciatis quos at totam facilis debitis."
"58","4","Special Forces Officer","Consequatur fugit dolorem culpa mollitia illo. Reiciendis officiis beatae doloribus. Et itaque quas officia reiciendis."
"59","5","Industrial Equipment Maintenance","Adipisci est qui sit earum ut possimus deleniti quia. Reiciendis voluptas ipsa quibusdam in doloribus ipsa odio. Et cum qui eos voluptas. Rerum quia aut quis consequatur odit."
"60","4","Pipe Fitter","Veritatis deserunt blanditiis aut et. Facilis architecto ut voluptatem accusantium. Dolorem omnis quo tempora ab. Aut dolores quo quis voluptas et delectus alias. Dolorem ut doloremque facere. Expedita aliquam voluptatem nobis sed. Et autem porro ratione mollitia blanditiis cupiditate."
"61","1","Tool and Die Maker","Atque omnis nihil rem optio eius est. Fuga iure nihil earum labore saepe fuga. Provident fugit velit a. Minus eligendi quia et eveniet tempora officiis illum. Officiis facilis rerum rerum. Unde eum tenetur ut dicta quis harum quia."
